key,Distance,Time
"(0, 0)",0.0,0.0
"(0, 1)",311.36,0.6226666666666667
"(0, 2)",808.72,1.6173333333333335
"(0, 3)",470.33,0.9406666666666667
"(0, 4)",35.77,0.0715
"(0, 5)",122.86,0.24566666666666667
"(0, 6)",3255.05,5.698833333333333
"(0, 7)",3014.33,6.028499999999999
"(0, 8)",2997.89,5.184666666666667
"(0, 9)",3941.55,6.266166666666667
"(0, 10)",15.31,0.03066666666666667
"(0, 11)",3173.71,5.5361666666666665
"(0, 12)",3991.7,6.3665
"(0, 13)",2819.38,5.6386666666666665
"(0, 14)",293.48,0.587
"(0, 15)",504.6,1.0091666666666665
"(0, 16)",3599.92,5.583
"(0, 17)",3300.96,6.601833333333333
"(0, 18)",3302.87,5.7945
"(0, 19)",307.37,0.6146666666666667
"(0, 20)",445.7,0.8913333333333333
"(0, 21)",2764.07,5.5280000000000005
"(0, 22)",3875.85,6.134833333333333
"(0, 23)",316.02,0.632
"(0, 24)",3514.68,5.4125
"(0, 25)",2755.75,5.511333333333333
"(0, 26)",797.58,1.5951666666666666
"(0, 27)",3492.4,6.984666666666667
"(0, 28)",3219.63,6.439166666666667
"(0, 29)",314.69,0.6293333333333333
"(0, 30)",3147.76,5.484333333333334
"(0, 31)",3661.29,5.705666666666666
"(0, 32)",573.82,1.1476666666666666
"(0, 33)",916.74,1.8333333333333333
"(0, 34)",743.84,1.4876666666666667
"(0, 35)",10.73,0.021500000000000002
"(0, 36)",4154.78,6.6925
"(0, 37)",2613.19,5.226333333333333
"(0, 38)",86.51,0.17300000000000001
"(0, 39)",3296.55,6.593
"(0, 40)",2329.32,4.6585
"(0, 41)",3538.13,5.459333333333333
"(0, 42)",3135.97,6.271833333333333
"(0, 43)",3334.91,5.858666666666666
"(0, 44)",449.03,0.898
"(0, 45)",4338.65,7.060333333333333
"(0, 46)",3507.53,7.015
"(0, 47)",2401.52,4.803
"(0, 48)",3092.04,5.373
"(0, 49)",3021.18,5.231166666666667
"(0, 50)",4398.03,7.179
"(1, 0)",311.36,0.6226666666666667
"(1, 1)",0.0,0.0
"(1, 2)",497.36,0.9946666666666667
"(1, 3)",781.69,1.5633333333333332
"(1, 4)",275.59,0.5511666666666667
"(1, 5)",188.5,0.377
"(1, 6)",2943.69,5.0761666666666665
"(1, 7)",3109.22,5.407333333333333
"(1, 8)",2686.53,4.562
"(1, 9)",3630.19,5.6435
"(1, 10)",296.05,0.5921666666666667
"(1, 11)",2862.35,4.9135
"(1, 12)",3680.34,5.743833333333333
"(1, 13)",3304.17,5.797166666666667
"(1, 14)",604.84,1.2096666666666667
"(1, 15)",193.24,0.3865
"(1, 16)",3288.56,4.960166666666667
"(1, 17)",3612.32,7.2245
"(1, 18)",2991.51,5.171833333333334
"(1, 19)",3.99,0.008
"(1, 20)",757.06,1.514
"(1, 21)",3359.48,5.9078333333333335
"(1, 22)",3564.49,5.512166666666667
"(1, 23)",627.38,1.2546666666666666
"(1, 24)",3203.32,4.789833333333333
"(1, 25)",3367.8,5.924333333333333
"(1, 26)",486.22,0.9723333333333334
"(1, 27)",4253.24,6.8895
"(1, 28)",3530.99,7.0618333333333325
"(1, 29)",3.33,0.006666666666666667
"(1, 30)",2836.4,4.861666666666666
"(1, 31)",3349.93,5.083
"(1, 32)",885.18,1.7703333333333333
"(1, 33)",605.38,1.2106666666666666
"(1, 34)",432.48,0.865
"(1, 35)",322.09,0.6441666666666667
"(1, 36)",3843.42,6.069833333333333
"(1, 37)",2924.55,5.849
"(1, 38)",397.87,0.7956666666666667
"(1, 39)",3607.91,7.2156666666666665
"(1, 40)",2640.68,5.281333333333333
"(1, 41)",3226.77,4.836666666666666
"(1, 42)",3447.33,6.8945
"(1, 43)",3023.55,5.236000000000001
"(1, 44)",137.67,0.2753333333333333
"(1, 45)",4027.29,6.437666666666666
"(1, 46)",4238.1,6.859166666666667
"(1, 47)",2712.88,5.425666666666667
"(1, 48)",2780.68,4.750333333333333
"(1, 49)",2709.82,4.608499999999999
"(1, 50)",4086.67,6.556333333333333
"(2, 0)",808.72,1.6173333333333335
"(2, 1)",497.36,0.9946666666666667
"(2, 2)",0.0,0.0
"(2, 3)",1279.05,2.558
"(2, 4)",772.95,1.5458333333333334
"(2, 5)",685.86,1.3716666666666666
"(2, 6)",2446.33,4.0815
"(2, 7)",2611.85,4.4126666666666665
"(2, 8)",2189.17,3.567333333333333
"(2, 9)",3132.82,4.648833333333333
"(2, 10)",793.42,1.5868333333333333
"(2, 11)",2364.99,3.918833333333333
"(2, 12)",3182.97,4.749
"(2, 13)",2806.81,4.802499999999999
"(2, 14)",1102.2,2.204333333333333
"(2, 15)",304.12,0.6081666666666667
"(2, 16)",2791.19,3.9655
"(2, 17)",3947.31,6.277666666666667
"(2, 18)",2494.15,4.1771666666666665
"(2, 19)",501.36,1.0026666666666666
"(2, 20)",1254.43,2.5086666666666666
"(2, 21)",2862.12,4.913166666666667
"(2, 22)",3067.13,4.517333333333333
"(2, 23)",1124.74,2.2493333333333334
"(2, 24)",2705.95,3.795166666666667
"(2, 25)",2870.44,4.929666666666666
"(2, 26)",11.15,0.022333333333333334
"(2, 27)",3755.88,5.894833333333334
"(2, 28)",4028.65,6.440333333333333
"(2, 29)",494.04,0.988
"(2, 30)",2339.04,3.867
"(2, 31)",2852.57,4.088333333333334
"(2, 32)",1382.54,2.765
"(2, 33)",108.02,0.216
"(2, 34)",64.88,0.12966666666666668
"(2, 35)",819.45,1.6388333333333334
"(2, 36)",3346.05,5.075166666666666
"(2, 37)",3012.99,5.214833333333333
"(2, 38)",895.24,1.7903333333333333
"(2, 39)",3951.72,6.2865
"(2, 40)",3296.86,5.7825
"(2, 41)",2729.4,3.842
"(2, 42)",4112.31,6.607666666666666
"(2, 43)",2526.18,4.241333333333333
"(2, 44)",359.69,0.7193333333333333
"(2, 45)",3529.92,5.443
"(2, 46)",3740.74,5.8645
"(2, 47)",3224.67,5.638166666666667
"(2, 48)",2283.31,3.7555
"(2, 49)",2212.46,3.6138333333333335
"(2, 50)",3589.3,5.5616666666666665
"(3, 0)",470.33,0.9406666666666667
"(3, 1)",781.69,1.5633333333333332
"(3, 2)",1279.05,2.558
"(3, 3)",0.0,0.0
"(3, 4)",506.1,1.0121666666666667
"(3, 5)",593.19,1.1863333333333335
"(3, 6)",2709.53,5.419
"(3, 7)",2544.01,5.087999999999999
"(3, 8)",2966.69,5.933166666666667
"(3, 9)",4411.88,7.206666666666666
"(3, 10)",485.63,0.9711666666666667
"(3, 11)",2790.87,5.581666666666666
"(3, 12)",3594.98,7.189833333333333
"(3, 13)",2349.05,4.6979999999999995
"(3, 14)",176.85,0.35366666666666663
"(3, 15)",974.93,1.9498333333333333
"(3, 16)",4070.25,6.5235
"(3, 17)",2830.63,5.6611666666666665
"(3, 18)",2661.71,5.323333333333333
"(3, 19)",777.7,1.5553333333333332
"(3, 20)",24.62,0.04916666666666667
"(3, 21)",2293.74,4.5873333333333335
"(3, 22)",4346.18,7.075333333333333
"(3, 23)",154.31,0.30866666666666664
"(3, 24)",3985.0,6.353
"(3, 25)",2285.42,4.570833333333333
"(3, 26)",1267.9,2.5356666666666663
"(3, 27)",3022.07,6.044
"(3, 28)",2749.3,5.4985
"(3, 29)",785.02,1.57
"(3, 30)",2816.82,5.6335
"(3, 31)",4131.62,6.646333333333333
"(3, 32)",103.49,0.207
"(3, 33)",1387.07,2.774
"(3, 34)",1214.17,2.428166666666667
"(3, 35)",459.6,0.9191666666666666
"(3, 36)",3431.9,6.863666666666666
"(3, 37)",2142.86,4.285666666666667
"(3, 38)",383.81,0.7676666666666667
"(3, 39)",2826.23,5.652333333333333
"(3, 40)",1859.0,3.718
"(3, 41)",4008.46,6.4
"(3, 42)",2665.64,5.331333333333333
"(3, 43)",2629.68,5.259333333333333
"(3, 44)",919.36,1.8386666666666664
"(3, 45)",3248.02,6.4959999999999996
"(3, 46)",3037.21,6.074333333333333
"(3, 47)",1931.19,3.8623333333333334
"(3, 48)",2872.54,5.745
"(3, 49)",2943.4,5.886666666666667
"(3, 50)",3188.65,6.377166666666667
"(4, 0)",35.77,0.0715
"(4, 1)",275.59,0.5511666666666667
"(4, 2)",772.95,1.5458333333333334
"(4, 3)",506.1,1.0121666666666667
"(4, 4)",0.0,0.0
"(4, 5)",87.09,0.17416666666666666
"(4, 6)",3219.28,5.627333333333333
"(4, 7)",3384.81,5.9585
"(4, 8)",2962.12,5.113166666666667
"(4, 9)",3905.78,6.1946666666666665
"(4, 10)",20.46,0.04083333333333333
"(4, 11)",3137.94,5.464666666666666
"(4, 12)",3955.93,6.295
"(4, 13)",2855.15,5.710166666666667
"(4, 14)",329.25,0.6585
"(4, 15)",468.83,0.9376666666666666
"(4, 16)",3564.15,5.511333333333333
"(4, 17)",3336.73,6.673333333333333
"(4, 18)",3267.1,5.723
"(4, 19)",271.6,0.5431666666666667
"(4, 20)",481.47,0.9628333333333333
"(4, 21)",2799.84,5.599500000000001
"(4, 22)",3840.08,6.0633333333333335
"(4, 23)",351.79,0.7035
"(4, 24)",3478.91,5.340999999999999
"(4, 25)",2791.52,5.582833333333333
"(4, 26)",761.81,1.5234999999999999
"(4, 27)",3528.17,7.056166666666667
"(4, 28)",3255.4,6.510666666666666
"(4, 29)",278.92,0.5578333333333333
"(4, 30)",3111.99,5.412833333333333
"(4, 31)",3625.52,5.634166666666667
"(4, 32)",609.59,1.2191666666666667
"(4, 33)",880.97,1.7618333333333331
"(4, 34)",708.07,1.4161666666666666
"(4, 35)",46.5,0.093
"(4, 36)",4119.01,6.6209999999999996
"(4, 37)",2648.96,5.297833333333333
"(4, 38)",122.28,0.2445
"(4, 39)",3332.32,6.6645
"(4, 40)",2365.09,4.73
"(4, 41)",3502.36,5.387833333333333
"(4, 42)",3171.74,6.343333333333334
"(4, 43)",3299.14,5.787166666666667
"(4, 44)",413.26,0.8265
"(4, 45)",4302.88,6.988833333333333
"(4, 46)",3543.3,7.0865
"(4, 47)",2437.29,4.8745
"(4, 48)",3056.27,5.301333333333333
"(4, 49)",2985.41,5.159666666666666
"(4, 50)",4362.26,7.1075
"(5, 0)",122.86,0.24566666666666667
"(5, 1)",188.5,0.377
"(5, 2)",685.86,1.3716666666666666
"(5, 3)",593.19,1.1863333333333335
"(5, 4)",87.09,0.17416666666666666
"(5, 5)",0.0,0.0
"(5, 6)",3132.18,5.453166666666666
"(5, 7)",3297.71,5.784166666666667
"(5, 8)",2875.03,4.938999999999999
"(5, 9)",3818.68,6.0205
"(5, 10)",107.56,0.21516666666666667
"(5, 11)",3050.85,5.2905
"(5, 12)",3868.83,6.120666666666667
"(5, 13)",2942.24,5.884333333333333
"(5, 14)",416.34,0.8326666666666667
"(5, 15)",381.74,0.7635000000000001
"(5, 16)",3477.05,5.337166666666667
"(5, 17)",3423.82,6.8475
"(5, 18)",3180.01,5.5488333333333335
"(5, 19)",184.5,0.369
"(5, 20)",568.57,1.137
"(5, 21)",2886.93,5.773666666666667
"(5, 22)",3752.99,5.888999999999999
"(5, 23)",438.88,0.8776666666666666
"(5, 24)",3391.81,5.166833333333333
"(5, 25)",2878.61,5.757000000000001
"(5, 26)",674.71,1.3493333333333333
"(5, 27)",3615.26,7.230333333333333
"(5, 28)",3342.49,6.684833333333333
"(5, 29)",191.82,0.38366666666666666
"(5, 30)",3024.9,5.238666666666666
"(5, 31)",3538.43,5.46
